User Email,the use of data science within my field of study and how it applies to my future careers (baseline),the key concepts and techniques involved in a data analysis workflow (baseline),and am able to explain how to produce a clean data set (baseline),and am able to explain how to perform a basic data analysis in order to provide insights (baseline),and am able to summarise and identify presentable data driven insights in a report (baseline),the use of data science within my field of study and how it applies to my future careers (final),the key concepts and techniques involved in a data analysis workflow (final),and am able to explain how to produce a clean data set (final),and am able to explain how to perform a basic data analysis in order to provide insights (final),and am able to summarise and identify presentable data driven insights in a report (final),the use of data science within my field of study and how it applies to my future careers (change),the key concepts and techniques involved in a data analysis workflow (change),and am able to explain how to produce a clean data set (change),and am able to explain how to perform a basic data analysis in order to provide insights (change),and am able to summarise and identify presentable data driven insights in a report (change)
18a2dc3b5403a8098d7394dfbccf6a3008037b5f23512801eee9c35f3983faec,3.0,3.0,3.0,4.0,3.0,3,3,2,2,3,0.0,0.0,-1.0,-2.0,0.0
b42921fe42ec50cf46e9c983e3ab53b10dc79e50dec78bde2fdeff3d6592bfc3,3.0,3.0,2.0,2.0,2.0,4,4,3,4,4,1.0,1.0,1.0,2.0,2.0
db8edd1499249d710906d996d0afdfa1d34c7b7cabdc403f6dd3c29d1556ad3d,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0
a1e3d65edd29d02f0709ec57748f675769e5d55019bfcc33aca8ee3fae631609,2.0,2.0,1.0,2.0,3.0,4,3,3,4,4,2.0,1.0,2.0,2.0,1.0
c34a979ded4ed502c459c07d28117a969745e449efb1718f955596672eb060de,4.0,2.0,2.0,4.0,2.0,3,5,2,3,5,-1.0,3.0,0.0,-1.0,3.0
1805e372bd131e5c5e617f9855c24e810f4dcfe0707f3e100fb41fd12aae4e13,4.0,3.0,3.0,4.0,4.0,5,5,5,5,5,1.0,2.0,2.0,1.0,1.0
58654241b238b4fea21e916ce0c0549d0692ea923083a0c3c3853b1a6a83ea9f,5.0,5.0,3.0,3.0,5.0,5,5,4,4,5,0.0,0.0,1.0,1.0,0.0
c8b10023fdb57ea8319c9dc12266d2981d269e8a82ad88db509b8f5d9c6cea10,4.0,3.0,3.0,4.0,4.0,5,4,3,3,3,1.0,1.0,0.0,-1.0,-1.0
3f11e66bbc4ff5920231ae46160508a0bb4098f22b30241b0ae4078eba800bf7,4.0,4.0,4.0,4.0,3.0,5,5,4,5,5,1.0,1.0,0.0,1.0,2.0
5ce3fd35fffa9fb1b0a4217ea0cee1b0a63f1cfedda273bc34a03e05bb6389e9,3.0,3.0,2.0,3.0,3.0,3,3,3,3,3,0.0,0.0,1.0,0.0,0.0
bb718314e31deae3e9028b9aa28ce63561b8f5fce904ba7f7f884cfb617b9f27,2.0,3.0,3.0,3.0,3.0,4,5,4,4,5,2.0,2.0,1.0,1.0,2.0
0cedf7df88f76c09c2770f0b3cb73d6609513388ebf3e4c5d432698ffa84181f,2.0,1.0,1.0,1.0,3.0,4,4,4,4,4,2.0,3.0,3.0,3.0,1.0
468aa350da0a02ce904ccc4ffeff00e3decdaefc9730be852062408acd31eb19,4.0,3.0,4.0,4.0,3.0,3,4,3,3,4,-1.0,1.0,-1.0,-1.0,1.0
